7392-539680
OS REV: 1.11 Sensor Cal: 1466698906
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1672410180,+3.06,+20.109, +0.329,+0.968
1672410480,+3.06,+20.134, +0.262,+0.966
1672410780,+3.06,+20.042, +0.225,+0.965
1672411080,+3.06,+20.033, +0.169,+0.964
1672411380,+3.06,+20.050, +0.112,+0.962
1672411680,+3.06,+20.084, +0.148,+0.963
1672411980,+3.06,+20.008, +0.097,+0.962
1672412280,+3.06,+20.000, +0.084,+0.961
1672412580,+3.06,+20.042, +0.087,+0.961
1672412880,+3.06,+20.084, +0.130,+0.963
1672413180,+3.06,+20.142, +0.160,+0.964
1672413480,+3.06,+20.117, +0.151,+0.964
1672413780,+3.06,+20.134, +0.122,+0.963
1672414080,+3.06,+20.201, +0.104,+0.962
1672414380,+3.06,+20.251, +0.132,+0.963
1672414680,+3.06,+20.268, +0.131,+0.963
1672414980,+3.06,+20.218, +0.096,+0.962
1672415280,+3.06,+20.226, +0.158,+0.964
1672415580,+3.06,+20.234, +0.282,+0.968
1672415880,+3.06,+20.318, +0.467,+0.972
1672416180,+3.06,+20.393, +0.740,+0.978
1672416480,+3.06,+20.419, +0.885,+0.980
1672416780,+3.06,+20.444, +0.852,+0.979
1672417080,+3.06,+20.519, +0.914,+0.980
1672417380,+3.06,+20.511, +0.939,+0.980
1672417680,+3.06,+20.494, +0.954,+0.980
1672417980,+3.06,+20.285, +0.784,+0.978
1672418280,+3.06,+20.117, +0.551,+0.973
1672418580,+3.06,+20.033, +0.354,+0.968
1672418880,+3.06,+19.916, +0.233,+0.965
1672419180,+3.06,+19.941, +0.180,+0.964
1672419480,+3.06,+19.992, +0.138,+0.963
1672419780,+3.06,+20.117, +0.098,+0.962
1672420080,+3.06,+20.327, +0.093,+0.962
1672420380,+3.06,+20.393, +0.273,+0.967
1672420680,+3.06,+20.427, +0.514,+0.973
1672420980,+3.06,+20.385, +0.489,+0.972
1672421280,+3.06,+20.519, +0.823,+0.979
1672421580,+3.06,+20.561, +1.028,+0.981
1672421880,+3.06,+20.594, +1.053,+0.981
1672422180,+3.06,+20.611, +1.159,+0.983
1672422480,+3.06,+20.619, +1.202,+0.983
1672422780,+3.06,+20.611, +1.197,+0.983
1672423080,+3.06,+20.619, +1.223,+0.983
1672423380,+3.06,+20.653, +1.266,+0.984
1672423680,+3.06,+20.711, +1.336,+0.984
1672423980,+3.06,+20.720, +1.447,+0.984
1672424280,+3.06,+20.737, +1.485,+0.985
1672424580,+3.06,+20.720, +1.463,+0.984
1672424880,+3.06,+20.745, +1.430,+0.984
1672425180,+3.06,+20.720, +1.399,+0.984
1672425480,+3.06,+20.728, +1.423,+0.984
1672425780,+3.06,+20.686, +1.467,+0.984
1672426080,+3.06,+20.653, +1.447,+0.984
1672426380,+3.06,+20.636, +1.454,+0.984
1672426680,+3.06,+20.645, +1.437,+0.984
1672426980,+3.06,+20.645, +1.436,+0.984
1672427280,+3.06,+20.628, +1.428,+0.984
1672427580,+3.06,+20.527, +1.260,+0.983
1672427880,+3.06,+20.527, +1.154,+0.982
1672428180,+3.06,+20.619, +1.357,+0.984
1672428480,+3.06,+20.619, +1.438,+0.984
1672428780,+3.06,+20.670, +1.590,+0.985
1672429080,+3.06,+20.670, +1.579,+0.985
1672429380,+3.06,+20.670, +1.506,+0.984
