7450-041662
OS REV: 1.05 Sensor Cal: 1663258284
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1673711700,+3.46,+24.415, +8.255,+0.949
1673712000,+3.46,+24.424, +8.260,+0.949
1673712300,+3.46,+24.424, +8.269,+0.949
1673712600,+3.46,+24.415, +6.883,+0.931
1673712900,+3.46,+24.449, +8.270,+0.949
1673713200,+3.46,+24.441, +8.278,+0.949
1673713500,+3.46,+24.533, +8.282,+0.949
1673713800,+3.46,+24.600, +8.282,+0.949
1673714100,+3.46,+24.634, +8.272,+0.949
1673714400,+3.46,+24.609, +8.299,+0.949
1673714700,+3.46,+24.626, +8.284,+0.949
1673715000,+3.46,+24.634, +8.266,+0.949
1673715300,+3.46,+24.668, +8.106,+0.949
1673715600,+3.46,+24.684, +8.272,+0.949
1673715900,+3.46,+24.651, +8.285,+0.949
1673716200,+3.46,+24.735, +8.303,+0.949
1673716500,+3.46,+24.861, +8.289,+0.950
1673716800,+3.46,+24.895, +8.350,+0.949
1673717100,+3.46,+24.895, +8.364,+0.949
1673717400,+3.46,+24.903, +8.336,+0.949
1673717700,+3.46,+24.811, +8.325,+0.949
1673718000,+3.46,+24.802, +8.326,+0.949
1673718300,+3.46,+24.785, +8.340,+0.949
1673718600,+3.46,+24.777, +8.331,+0.949
1673718900,+3.46,+24.768, +8.349,+0.949
1673719200,+3.46,+24.752, +8.355,+0.949
1673719500,+3.46,+24.752, +8.345,+0.949
1673719800,+3.46,+24.710, +8.342,+0.949
1673720100,+3.46,+24.693, +8.350,+0.950
1673720400,+3.46,+24.752, +8.358,+0.949
1673720700,+3.46,+24.802, +8.346,+0.949
1673721000,+3.46,+24.794, +8.317,+0.949
1673721300,+3.46,+24.811, +8.321,+0.949
1673721600,+3.46,+24.836, +8.320,+0.949
1673721900,+3.46,+24.844, +8.336,+0.950
1673722200,+3.46,+24.827, +8.339,+0.950
1673722500,+3.46,+24.802, +8.323,+0.948
1673722800,+3.46,+24.768, +8.338,+0.949
1673723100,+3.46,+24.752, +8.342,+0.949
1673723400,+3.46,+24.710, +8.353,+0.949
1673723700,+3.46,+24.659, +8.374,+0.950
1673724000,+3.46,+24.701, +8.358,+0.949
1673724300,+3.46,+24.676, +8.372,+0.949
1673724600,+3.46,+24.676, +8.372,+0.950
1673724900,+3.46,+24.668, +8.375,+0.949
1673725200,+3.46,+24.659, +8.368,+0.949
1673725500,+3.46,+24.642, +8.387,+0.949
1673725800,+3.46,+24.676, +8.378,+0.949
1673726100,+3.46,+24.659, +8.378,+0.949
1673726400,+3.46,+24.718, +8.369,+0.949
1673726700,+3.46,+24.726, +8.393,+0.949
1673727000,+3.46,+24.726, +8.386,+0.949
1673727300,+3.46,+24.701, +8.400,+0.949
1673727600,+3.46,+24.701, +8.402,+0.949
1673727900,+3.46,+24.701, +8.404,+0.949
1673728200,+3.46,+24.701, +8.400,+0.949
1673728500,+3.46,+24.710, +8.402,+0.949
1673728800,+3.46,+24.710, +8.393,+0.949
1673729100,+3.46,+24.693, +8.406,+0.949
1673729400,+3.46,+24.693, +8.412,+0.949
1673729700,+3.46,+24.676, +8.423,+0.949
1673730000,+3.46,+24.676, +8.430,+0.949
1673730300,+3.46,+24.718, +8.392,+0.949
1673730600,+3.46,+24.710, +8.397,+0.949
1673730900,+3.46,+24.693, +8.416,+0.949
1673731200,+3.46,+24.701, +8.416,+0.949
1673731500,+3.46,+24.684, +8.441,+0.949
1673731800,+3.46,+24.701, +8.437,+0.949
1673732100,+3.46,+24.684, +8.438,+0.950
1673732400,+3.46,+24.659, +8.439,+0.949
1673732700,+3.46,+24.659, +8.447,+0.949
1673733000,+3.46,+24.659, +8.442,+0.949
1673733300,+3.46,+24.651, +8.431,+0.949
1673733600,+3.46,+24.642, +8.419,+0.949
1673733900,+3.46,+24.651, +8.421,+0.949
1673734200,+3.46,+24.626, +8.407,+0.949
1673734500,+3.46,+24.609, +8.403,+0.949
1673734800,+3.46,+24.617, +8.400,+0.949
1673735100,+3.46,+24.617, +8.390,+0.950
1673735400,+3.46,+24.626, +8.373,+0.950
1673735700,+3.46,+24.609, +8.297,+0.949
1673736000,+3.46,+24.609, +8.360,+0.950
1673736300,+3.46,+24.592, +8.374,+0.950
1673736600,+3.46,+24.592, +8.375,+0.949
1673736900,+3.46,+24.609, +8.116,+0.948
1673737200,+3.46,+24.617, +8.365,+0.949
1673737500,+3.46,+24.600, +8.380,+0.949
1673737800,+3.46,+24.592, +8.375,+0.949
1673738100,+3.46,+24.575, +8.366,+0.949
1673738400,+3.46,+24.583, +8.350,+0.949
1673738700,+3.46,+24.575, +8.353,+0.949
1673739000,+3.46,+24.583, +8.373,+0.950
1673739300,+3.46,+24.567, +8.369,+0.949
1673739600,+3.46,+24.558, +8.307,+0.949
1673739900,+3.46,+24.558, +8.340,+0.949
1673740200,+3.46,+24.558, +8.339,+0.949
1673740500,+3.46,+24.558, +8.363,+0.949
1673740800,+3.46,+24.550, +8.358,+0.950
1673741100,+3.46,+24.550, +8.332,+0.949
1673741400,+3.46,+24.533, +8.317,+0.950
1673741700,+3.46,+24.516, +8.328,+0.949
1673742000,+3.46,+24.516, +8.314,+0.950
1673742300,+3.46,+24.516, +8.353,+0.950
1673742600,+3.46,+24.491, +8.354,+0.949
1673742900,+3.46,+24.499, +8.355,+0.949
1673743200,+3.46,+24.499, +8.344,+0.949
1673743500,+3.46,+24.491, +8.325,+0.949
1673743800,+3.46,+24.474, +8.346,+0.949
1673744100,+3.46,+24.483, +8.332,+0.949
1673744400,+3.46,+24.449, +8.330,+0.949
1673744700,+3.46,+24.474, +8.320,+0.949
1673745000,+3.46,+24.449, +8.311,+0.949
1673745300,+3.46,+24.449, +8.332,+0.949
1673745600,+3.46,+24.449, +8.334,+0.950
1673745900,+3.46,+24.449, +8.330,+0.949
1673746200,+3.46,+24.457, +8.326,+0.949
1673746500,+3.46,+24.457, +8.338,+0.949
1673746800,+3.46,+24.466, +8.332,+0.949
1673747100,+3.46,+24.424, +8.344,+0.950
1673747400,+3.46,+24.441, +8.343,+0.949
1673747700,+3.46,+24.466, +8.337,+0.950
1673748000,+3.46,+24.424, +8.331,+0.949
1673748300,+3.46,+24.415, +8.324,+0.950
1673748600,+3.46,+24.424, +8.311,+0.949
1673748900,+3.46,+24.399, +8.322,+0.950
1673749200,+3.46,+24.399, +8.309,+0.949
1673749500,+3.46,+24.407, +8.296,+0.949
1673749800,+3.46,+24.373, +8.290,+0.949
1673750100,+3.46,+24.382, +8.288,+0.949
1673750400,+3.46,+24.373, +8.294,+0.949
1673750700,+3.46,+24.365, +8.312,+0.950
1673751000,+3.46,+24.365, +8.295,+0.949
1673751300,+3.46,+24.357, +8.302,+0.949
1673751600,+3.46,+24.365, +8.299,+0.949
1673751900,+3.46,+24.348, +8.308,+0.949
1673752200,+3.46,+24.331, +8.306,+0.950
1673752500,+3.46,+24.331, +8.290,+0.949
1673752800,+3.46,+24.331, +8.289,+0.949
1673753100,+3.46,+24.298, +8.273,+0.949
1673753400,+3.46,+24.331, +8.252,+0.949
1673753700,+3.46,+24.306, +8.266,+0.949
1673754000,+3.46,+24.315, +8.267,+0.949
1673754300,+3.46,+24.306, +8.249,+0.949
1673754600,+3.46,+24.298, +8.267,+0.950
1673754900,+3.46,+24.306, +8.253,+0.949
1673755200,+3.46,+24.306, +8.257,+0.949
1673755500,+3.46,+24.306, +8.255,+0.949
1673755800,+3.46,+24.289, +8.253,+0.949
1673756100,+3.46,+24.289, +8.270,+0.949
1673756400,+3.45,+24.273, +8.265,+0.949
1673756700,+3.45,+24.264, +8.274,+0.949
1673757000,+3.45,+24.273, +8.272,+0.949
1673757300,+3.45,+24.264, +8.261,+0.949
1673757600,+3.46,+24.264, +8.257,+0.949
1673757900,+3.45,+24.256, +8.265,+0.949
1673758200,+3.45,+24.264, +8.284,+0.949
1673758500,+3.46,+24.256, +8.275,+0.949
1673758800,+3.46,+24.247, +8.262,+0.949
1673759100,+3.45,+24.256, +8.233,+0.949
1673759400,+3.45,+24.247, +8.238,+0.949
1673759700,+3.46,+24.239, +8.236,+0.949
1673760000,+3.46,+24.231, +8.217,+0.949
1673760300,+3.45,+24.239, +8.240,+0.949
1673760600,+3.46,+24.231, +8.214,+0.949
1673760900,+3.45,+24.231, +8.239,+0.949
1673761200,+3.46,+24.239, +8.254,+0.949
1673761500,+3.45,+24.222, +8.260,+0.949
1673761800,+3.45,+24.222, +8.247,+0.949
1673762100,+3.45,+24.222, +8.251,+0.949
1673762400,+3.45,+24.239, +8.256,+0.949
1673762700,+3.46,+24.222, +8.243,+0.949
1673763000,+3.45,+24.231, +8.244,+0.949
1673763300,+3.46,+24.205, +8.248,+0.950
1673763600,+3.46,+24.205, +8.243,+0.949
1673763900,+3.46,+24.197, +8.262,+0.949
1673764200,+3.46,+24.189, +8.251,+0.949
1673764500,+3.45,+24.197, +8.253,+0.949
1673764800,+3.46,+24.205, +8.240,+0.949
1673765100,+3.46,+24.189, +8.260,+0.949
1673765400,+3.46,+24.180, +8.243,+0.948
1673765700,+3.45,+24.180, +8.269,+0.949
1673766000,+3.46,+24.180, +8.264,+0.949
1673766300,+3.46,+24.189, +8.254,+0.949
1673766600,+3.46,+24.189, +8.231,+0.949
1673766900,+3.46,+24.189, +8.230,+0.949
1673767200,+3.46,+24.172, +8.253,+0.949
1673767500,+3.45,+24.172, +8.262,+0.949
1673767800,+3.45,+24.172, +8.243,+0.949
1673768100,+3.46,+24.180, +8.258,+0.949
1673768400,+3.46,+24.155, +8.267,+0.949
