7392-538280
OS REV: 1.11 Sensor Cal: 1466698825
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1679756280,+3.02,+24.377, +5.282,+1.042
1679756580,+3.02,+24.369, +5.586,+1.043
1679756880,+3.02,+24.377, +5.707,+1.043
1679757180,+3.02,+24.369, +5.865,+1.043
1679757480,+3.02,+24.343, +6.141,+1.042
1679757780,+3.02,+24.352, +6.592,+1.044
1679758080,+3.02,+24.327, +6.733,+1.044
1679758380,+3.02,+24.318, +6.788,+1.043
1679758680,+3.02,+24.385, +7.113,+1.044
1679758980,+3.02,+24.419, +7.279,+1.046
1679759280,+3.02,+24.427, +7.035,+1.044
1679759580,+3.02,+24.402, +6.991,+1.044
1679759880,+3.02,+24.444, +7.083,+1.044
1679760180,+3.02,+24.486, +7.070,+1.043
1679760480,+3.02,+24.562, +6.967,+1.045
1679760780,+3.02,+24.604, +6.926,+1.043
1679761080,+3.02,+24.705, +7.244,+1.045
1679761380,+3.02,+24.722, +7.298,+1.044
1679761680,+3.02,+24.764, +7.320,+1.044
1679761980,+3.02,+24.747, +7.335,+1.045
1679762280,+3.02,+24.722, +7.363,+1.044
1679762580,+3.02,+24.756, +7.450,+1.043
1679762880,+3.02,+24.756, +7.568,+1.044
1679763180,+3.02,+24.773, +7.539,+1.044
1679763480,+3.02,+24.832, +7.612,+1.045
1679763780,+3.02,+24.815, +7.650,+1.044
1679764080,+3.02,+24.798, +7.654,+1.045
1679764380,+3.02,+24.789, +7.503,+1.043
1679764680,+3.02,+24.806, +7.539,+1.044
1679764980,+3.02,+24.781, +7.462,+1.044
1679765280,+3.02,+24.781, +7.484,+1.044
1679765580,+3.02,+24.781, +7.409,+1.044
1679765880,+3.02,+24.764, +7.319,+1.044
1679766180,+3.02,+24.697, +7.209,+1.043
1679766480,+3.02,+24.739, +7.213,+1.044
1679766780,+3.02,+24.646, +7.186,+1.045
1679767080,+3.02,+24.655, +7.123,+1.043
1679767380,+3.02,+24.638, +7.126,+1.043
1679767680,+3.02,+24.722, +7.150,+1.046
1679767980,+3.02,+24.832, +7.252,+1.045
1679768280,+3.02,+24.899, +7.292,+1.044
1679768580,+3.02,+24.907, +7.223,+1.043
1679768880,+3.02,+24.933, +7.119,+1.045
1679769180,+3.02,+24.747, +7.134,+1.043
1679769480,+3.02,+24.714, +7.171,+1.044
1679769780,+3.02,+24.756, +7.202,+1.045
1679770080,+3.02,+24.806, +7.121,+1.044
1679770380,+3.02,+24.848, +7.027,+1.044
1679770680,+3.02,+24.857, +6.884,+1.044
1679770980,+3.02,+24.806, +6.727,+1.043
1679771280,+3.02,+24.739, +6.611,+1.044
1679771580,+3.02,+24.714, +6.566,+1.043
1679771880,+3.02,+24.773, +6.599,+1.044
1679772180,+3.02,+24.806, +6.550,+1.044
1679772480,+3.02,+24.815, +6.462,+1.044
1679772780,+3.02,+24.848, +6.510,+1.045
1679773080,+3.02,+24.865, +7.112,+1.045
1679773380,+3.02,+24.899, +7.559,+1.044
1679773680,+3.02,+24.899, +7.787,+1.045
1679773980,+3.02,+24.832, +7.761,+1.044
1679774280,+3.02,+24.840, +7.763,+1.044
1679774580,+3.02,+24.848, +7.783,+1.045
1679774880,+3.02,+24.840, +7.869,+1.044
1679775180,+3.02,+24.857, +7.871,+1.044
1679775480,+3.02,+24.848, +7.854,+1.044
1679775780,+3.02,+24.815, +7.778,+1.044
1679776080,+3.02,+24.848, +7.710,+1.046
1679776380,+3.02,+24.899, +7.863,+1.045
1679776680,+3.02,+24.832, +7.673,+1.043
1679776980,+3.02,+24.857, +7.720,+1.045
1679777280,+3.02,+24.815, +7.679,+1.044
1679777580,+3.02,+24.756, +7.604,+1.045
1679777880,+3.02,+24.823, +7.490,+1.045
1679778180,+3.02,+24.832, +7.441,+1.044
1679778480,+3.02,+24.806, +7.434,+1.045
1679778780,+3.02,+24.747, +7.385,+1.043
1679779080,+3.02,+24.739, +7.420,+1.045
1679779380,+3.02,+24.789, +7.396,+1.044
1679779680,+3.02,+24.857, +7.366,+1.045
1679779980,+3.02,+24.840, +7.465,+1.045
1679780280,+3.02,+24.848, +7.423,+1.044
1679780580,+3.02,+24.916, +7.424,+1.044
1679780880,+3.02,+24.840, +7.435,+1.044
1679781180,+3.02,+24.697, +7.373,+1.045
1679781480,+3.02,+24.655, +7.406,+1.045
1679781780,+3.02,+24.815, +7.540,+1.045
1679782080,+3.02,+24.832, +7.502,+1.043
1679782380,+3.02,+24.798, +7.545,+1.043
1679782680,+3.02,+24.764, +7.459,+1.044
1679782980,+3.02,+24.857, +7.431,+1.044
1679783280,+3.02,+24.933, +7.371,+1.044
1679783580,+3.02,+24.865, +7.313,+1.046
1679783880,+3.02,+24.764, +7.128,+1.043
1679784180,+3.02,+24.848, +6.996,+1.044
1679784480,+3.02,+24.865, +6.861,+1.043
1679784780,+3.02,+24.815, +6.741,+1.044
1679785080,+3.02,+24.781, +6.580,+1.043
1679785380,+3.02,+24.815, +6.427,+1.044
1679785680,+3.02,+24.806, +6.248,+1.044
1679785980,+3.02,+24.680, +6.076,+1.043
1679786280,+3.02,+24.554, +5.918,+1.043
1679786580,+3.02,+24.512, +5.789,+1.044
1679786880,+3.02,+24.470, +5.638,+1.044
1679787180,+3.02,+24.436, +5.527,+1.044
1679787480,+3.02,+24.402, +5.431,+1.043
1679787780,+3.02,+24.444, +5.338,+1.044
1679788080,+3.02,+24.478, +5.210,+1.043
1679788380,+3.02,+24.503, +5.073,+1.043
1679788680,+3.02,+24.486, +4.943,+1.043
1679788980,+3.02,+24.486, +4.811,+1.043
1679789280,+3.02,+24.537, +4.678,+1.043
1679789580,+3.02,+24.545, +4.544,+1.043
1679789880,+3.02,+24.528, +4.423,+1.043
1679790180,+3.02,+24.537, +4.310,+1.042
1679790480,+3.02,+24.554, +4.241,+1.042
1679790780,+3.02,+24.562, +4.164,+1.042
1679791080,+3.02,+24.554, +4.073,+1.042
1679791380,+3.02,+24.528, +3.961,+1.042
1679791680,+3.02,+24.562, +3.827,+1.041
1679791980,+3.02,+24.528, +3.730,+1.041
1679792280,+3.02,+24.528, +3.631,+1.041
1679792580,+3.02,+24.301, +3.503,+1.041
1679792880,+3.02,+24.242, +3.422,+1.042
1679793180,+3.02,+24.200, +3.355,+1.042
1679793480,+3.02,+24.209, +3.266,+1.042
1679793780,+3.02,+24.167, +3.174,+1.042
1679794080,+3.02,+24.167, +3.303,+1.043
1679794380,+3.02,+24.184, +3.473,+1.043
1679794680,+3.02,+24.133, +3.556,+1.043
1679794980,+3.02,+24.108, +3.604,+1.042
1679795280,+3.02,+24.158, +3.633,+1.042
1679795580,+3.02,+24.200, +3.619,+1.043
1679795880,+3.02,+24.234, +3.652,+1.042
1679796180,+3.02,+24.226, +3.707,+1.043
1679796480,+3.02,+24.192, +3.721,+1.043
1679796780,+3.02,+24.200, +3.710,+1.043
1679797080,+3.02,+24.234, +3.645,+1.042
1679797380,+3.02,+24.226, +3.578,+1.043
1679797680,+3.02,+24.259, +3.491,+1.044
