7450-018958
OS REV: 1.05 Sensor Cal: 1661958677
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1681317000,+3.08,+24.125, +6.178,+0.964
1681317300,+3.08,+24.151, +6.292,+0.964
1681317600,+3.08,+24.084, +6.259,+0.964
1681317900,+3.08,+24.025, +6.211,+0.964
1681318200,+3.08,+24.016, +6.171,+0.964
1681318500,+3.08,+24.042, +6.124,+0.964
1681318800,+3.08,+24.050, +6.119,+0.964
1681319100,+3.08,+24.075, +6.125,+0.964
1681319400,+3.08,+24.075, +6.151,+0.964
1681319700,+3.08,+24.084, +6.139,+0.964
1681320000,+3.08,+24.084, +6.140,+0.965
1681320300,+3.08,+24.109, +6.121,+0.964
1681320600,+3.08,+24.084, +6.106,+0.964
1681320900,+3.08,+24.067, +6.103,+0.964
1681321200,+3.08,+24.084, +6.098,+0.964
1681321500,+3.08,+24.100, +6.084,+0.964
1681321800,+3.08,+24.084, +6.078,+0.964
1681322100,+3.08,+24.109, +6.038,+0.964
1681322400,+3.08,+24.125, +5.989,+0.964
1681322700,+3.08,+24.167, +6.034,+0.964
1681323000,+3.08,+24.193, +5.962,+0.964
1681323300,+3.08,+24.209, +5.853,+0.964
1681323600,+3.08,+24.209, +5.822,+0.964
1681323900,+3.08,+24.226, +5.772,+0.964
1681324200,+3.08,+24.218, +6.033,+0.964
1681324500,+3.08,+24.226, +5.960,+0.964
1681324800,+3.08,+24.243, +5.896,+0.964
1681325100,+3.08,+24.251, +5.835,+0.964
1681325400,+3.08,+24.209, +5.805,+0.964
1681325700,+3.08,+24.209, +5.770,+0.964
1681326000,+3.08,+24.218, +5.795,+0.964
1681326300,+3.08,+24.226, +5.795,+0.964
1681326600,+3.08,+24.218, +5.841,+0.964
1681326900,+3.08,+24.226, +5.823,+0.964
1681327200,+3.08,+24.226, +5.731,+0.964
1681327500,+3.08,+24.235, +5.666,+0.964
1681327800,+3.08,+24.243, +5.714,+0.964
1681328100,+3.08,+24.260, +5.754,+0.964
1681328400,+3.08,+24.277, +5.788,+0.964
1681328700,+3.08,+24.285, +5.756,+0.964
1681329000,+3.08,+24.327, +5.707,+0.964
1681329300,+3.09,+24.352, +5.799,+0.964
1681329600,+3.08,+24.310, +6.133,+0.964
1681329900,+3.08,+24.335, +6.067,+0.964
1681330200,+3.09,+24.344, +5.969,+0.964
1681330500,+3.08,+24.327, +5.957,+0.964
1681330800,+3.09,+24.302, +5.905,+0.964
1681331100,+3.08,+24.277, +5.883,+0.964
1681331400,+3.08,+24.243, +5.832,+0.964
1681331700,+3.08,+24.193, +5.798,+0.964
1681332000,+3.08,+24.193, +5.823,+0.964
1681332300,+3.08,+24.184, +5.776,+0.964
1681332600,+3.08,+24.184, +5.742,+0.964
1681332900,+3.08,+24.193, +5.690,+0.964
1681333200,+3.08,+24.218, +5.649,+0.964
1681333500,+3.08,+24.201, +5.718,+0.964
1681333800,+3.08,+24.209, +5.670,+0.964
1681334100,+3.08,+24.218, +5.720,+0.964
1681334400,+3.08,+24.243, +5.792,+0.964
1681334700,+3.08,+24.251, +5.778,+0.964
1681335000,+3.08,+24.218, +5.834,+0.964
1681335300,+3.08,+24.218, +5.848,+0.964
1681335600,+3.08,+24.193, +5.834,+0.964
1681335900,+3.08,+24.184, +5.778,+0.964
1681336200,+3.08,+24.193, +5.661,+0.964
1681336500,+3.08,+24.184, +5.589,+0.964
1681336800,+3.08,+24.184, +5.568,+0.964
1681337100,+3.08,+24.176, +5.522,+0.964
1681337400,+3.08,+24.176, +5.477,+0.964
